utt_0000 | U do‘kondan non sotib oldi. | u do‘kondan non sotib oldi.
utt_11399 | Konchilik faoliyatini tartibga solish. | konchilik faoliyatini tartibga solish.
utt_1140 | Sababi, ko‘pchilik tengdoshlarim allaqachon uy-joy qurgandi. | sababi, ko‘pchilik tengdoshlarim allaqachon uy-joy qurgandi.
utt_11400 | Geologiya va mineral resurslar bo'yicha davlat nazorati. | geologiya va mineral resurslar boʻyicha davlat nazorati.
utt_11401 | Suv resurslaridan samarali foydalanish choralari. | suv resurslaridan samarali foydalanish choralari.
utt_11402 | Orol dengizi fojiasining oqibatlarini bartaraf etish. | orol dengizi fojiasining oqibatlarini bartaraf etish.
utt_11403 | Aholiga ijtimoiy yordam ko'rsatish dasturlari. | aholiga ijtimoiy yordam koʻrsatish dasturlari.
utt_11404 | Yolg'iz qariyalarga yordam ko'rsatish markazlari. | yolgʻiz qariyalarga yordam koʻrsatish markazlari.
utt_11405 | Nogironligi bo'lgan shaxslarni qo'llab-quvvatlash. | nogironligi boʻlgan shaxslarni qoʻllab-quvvatlash.
utt_11406 | Ko'p bolali oilalarga imtiyozlar berish. | koʻp bolali oilalarga imtiyozlar berish.
utt_11407 | Kam ta'minlangan oilalarga yordam turlari. | kam taʻminlangan oilalarga yordam turlari.
utt_11408 | Yoshlar tadbirkorligini qo'llab-quvvatlash fondi. | yoshlar tadbirkorligini qoʻllab-quvvatlash fondi.
utt_11409 | Ayollar tadbirkorligini rivojlantirish dasturlari. | ayollar tadbirkorligini rivojlantirish dasturlari.
utt_1141 | Bu orada ikkinchi qizim ham dunyoga kelgandi. | bu orada ikkinchi qizim ham dunyoga kelgandi.
utt_11410 | Bolalar huquqlarini himoya qilish bo'yicha qonunlar. | bolalar huquqlarini himoya qilish boʻyicha qonunlar.
utt_11411 | Ota-ona qaramog'idan mahrum bo'lgan bolalarni qo'llab-quvvatlash. | ota-ona qaramogʻidan mahrum boʻlgan bolalarni qoʻllab-quvvatlash.
utt_11412 | Ziyofatxona ochish uchun ruxsatnoma olish. | ziyofatxona ochish uchun ruxsatnoma olish.
utt_11413 | Kafeteriya ochish uchun sanitariya-epidemiologiya xulosasi. | kafeteriya ochish uchun sanitariya-epidemiologiya xulosasi.
utt_11414 | Chakana savdo faoliyatini ro'yxatdan o'tkazish. | chakana savdo faoliyatini roʻyxatdan oʻtkazish.
utt_11415 | Ulgurji savdo faoliyati uchun litsenziya. | ulgurji savdo faoliyati uchun litsenziya.
utt_11416 | Soliq kodeksiga kiritilgan o'zgarishlar. | soliq kodeksiga kiritilgan oʻzgarishlar.
utt_11417 | Soliq organlari tomonidan tekshiruvlar o'tkazish tartibi. | soliq organlari tomonidan tekshiruvlar oʻtkazish tartibi.
utt_11418 | Jismoniy shaxslardan olinadigan daromad solig'i stavkalari. | jismoniy shaxslardan olinadigan daromad soligʻi stavkalari.
utt_11419 | QQSni hisoblash va to'lash tartibi. | qqsni hisoblash va toʻlash tartibi.
utt_1142 | Ularni kelajagini ta’minlash va menday sarson bo‘lmasdan, yaxshi o‘qib, institutlarga kirib, aynan televideniyega ishga kirib, kasbimni davom ettirishlari uchun sharoit yaratishim kerak edi. | ularni kelajagini taʻminlash va menday sarson bo‘lmasdan, yaxshi o‘qib, institutlarga kirib, aynan televideniyega ishga kirib, kasbimni davom ettirishlari uchun sharoit yaratishim kerak edi.
utt_11420 | Aylanmadan olinadigan soliq turlari. | aylanmadan olinadigan soliq turlari.
utt_11421 | Davlat byudjetining ijrosi bo'yicha hisobotlar. | davlat byudjetining ijrosi boʻyicha hisobotlar.
utt_11422 | Qarzdorlikni undirish bo'yicha sud qarorlari. | qarzdorlikni undirish boʻyicha sud qarorlari.
utt_11423 | Ijro varaqalari asosida majburiy ijro. | ijro varaqalari asosida majburiy ijro.
utt_11424 | Jinoyat ishini qo'zg'atish tartibi. | jinoyat ishini qoʻzgʻatish tartibi.
utt_11425 | Ma'muriy huquqbuzarliklar uchun jarimalar. | maʻmuriy huquqbuzarliklar uchun jarimalar.
utt_11426 | Huquqni muhofaza qilish organlariga murojaat qilish. | huquqni muhofaza qilish organlariga murojaat qilish.
utt_11427 | Prokuratura organlarining vakolatlari. | prokuratura organlarining vakolatlari.
utt_11428 | Adliya vazirligining faoliyat yo'nalishlari. | adliya vazirligining faoliyat yoʻnalishlari.
utt_11429 | Davlat xizmatlari agentligi vazifalari. | davlat xizmatlari agentligi vazifalari.
utt_1143 | Xudoga shukur, ayni damda ikkala qizim ham yaxshi o‘qiydi. | xudoga shukur, ayni damda ikkala qizim ham yaxshi o‘qiydi.
utt_11430 | Yagona darcha tamoyili asosida xizmat ko'rsatish. | yagona darcha tamoyili asosida xizmat koʻrsatish.
utt_11431 | Elektron imzo olish tartibi. | elektron imzo olish tartibi.
utt_11432 | Davlat reyestriga kiritish uchun ariza topshirish. | davlat reyestriga kiritish uchun ariza topshirish.
utt_11433 | Yer uchastkasini ijaraga olish shartnomasi. | yer uchastkasini ijaraga olish shartnomasi.
utt_11434 | Bino va inshootlarni ijaraga berish tartibi. | bino va inshootlarni ijaraga berish tartibi.
utt_11435 | Davlat mulkini xususiylashtirish dasturlari. | davlat mulkini xususiylashtirish dasturlari.
utt_11436 | Davlat-xususiy sheriklik loyihalarini qo'llab-quvvatlash. | davlat-xususiy sheriklik loyihalarini qoʻllab-quvvatlash.
utt_11437 | Xalqaro hamkorlik doirasidagi loyihalar. | xalqaro hamkorlik doirasidagi loyihalar.
utt_11438 | Xorijiy sarmoyalarni jalb qilish siyosati. | xorijiy sarmoyalarni jalb qilish siyosati.
utt_11439 | Investitsiya loyihalarini ro'yxatdan o'tkazish. | investitsiya loyihalarini roʻyxatdan oʻtkazish.
utt_1144 | Kattasi sinf sardori. | kattasi sinf sardori.
utt_11440 | Erkin iqtisodiy zonalarda faoliyat yuritish imkoniyatlari. | erkin iqtisodiy zonalarda faoliyat yuritish imkoniyatlari.
utt_11441 | Eksportni rag'batlantirish choralari. | eksportni ragʻbatlantirish choralari.
utt_11442 | Import bo'yicha cheklovlar va imtiyozlar. | import boʻyicha cheklovlar va imtiyozlar.
utt_11443 | Davlat chegarasini kesib o'tish qoidalari. | davlat chegarasini kesib oʻtish qoidalari.
utt_11444 | Vaqtinchalik yashash joyini ro'yxatdan o'tkazish. | vaqtinchalik yashash joyini roʻyxatdan oʻtkazish.
utt_11445 | Doimiy yashash joyini ro'yxatdan o'tkazish. | doimiy yashash joyini roʻyxatdan oʻtkazish.
utt_11446 | Fuqarolikka qabul qilish tartibi. | fuqarolikka qabul qilish tartibi.
utt_11447 | Fuqarolikni yo'qotish tartibi. | fuqarolikni yoʻqotish tartibi.
utt_11448 | Harbiy hisobga turish va hisobdan chiqish tartibi. | harbiy hisobga turish va hisobdan chiqish tartibi.
utt_11449 | Chaqiruv komissiyasining faoliyati. | chaqiruv komissiyasining faoliyati.
utt_1145 | Molga qarash, dalada ketmon chopishdan ozod, muntazam dars qiladi. | molga qarash, dalada ketmon chopishdan ozod, muntazam dars qiladi.
utt_11450 | Zaxiradagi harbiylar uchun imtiyozlar. | zaxiradagi harbiylar uchun imtiyozlar.
utt_11451 | Muddatli harbiy xizmatni o'tash tartibi. | muddatli harbiy xizmatni oʻtash tartibi.
utt_11452 | Muqobil xizmatni o'tash imkoniyati. | muqobil xizmatni oʻtash imkoniyati.
utt_11453 | Qurolli kuchlar tarkibiga kirish shartlari. | qurolli kuchlar tarkibiga kirish shartlari.
utt_11454 | Davlat xizmatiga kirish uchun tanlovlar. | davlat xizmatiga kirish uchun tanlovlar.
utt_11455 | Davlat lavozimlariga ishga qabul qilish tartibi. | davlat lavozimlariga ishga qabul qilish tartibi.
utt_11456 | Korrupsiyaga qarshi kurash choralariga rioya qiling. | korrupsiyaga qarshi kurash choralariga rioya qiling.
utt_11457 | Davlat organlarida shaffoflikni ta'minlash. | davlat organlarida shaffoflikni taʻminlash.
utt_11458 | Elektron davlat xaridlari tizimiga ulanish. | elektron davlat xaridlari tizimiga ulanish.
utt_11459 | Jamoatchilik nazorati mexanizmlari. | jamoatchilik nazorati mexanizmlari.
utt_1146 | Stol-stul, kitob javoni, hatto noutbuklargacha olib berganman. | stol-stul, kitob javoni, hatto noutbuklargacha olib berganman.
utt_11460 | OAV erkinligi va axborot olish huquqi. | oav erkinligi va axborot olish huquqi.
utt_11461 | Davlat sirlarini saqlash majburiyati. | davlat sirlarini saqlash majburiyati.
utt_11462 | Ma'lumotlarning himoyalanganligi ta'minlanadi. | maʻlumotlarning himoyalanganligi taʻminlanadi.
utt_11463 | Shaxsiy ma'lumotlarni qayta ishlash qoidalari. | shaxsiy maʻlumotlarni qayta ishlash qoidalari.
utt_11464 | Kiberxavfsizlikni ta'minlash choralari. | kiberxavfsizlikni taʻminlash choralari.
utt_11465 | Axborot tizimlarini himoya qilish tizimlari. | axborot tizimlarini himoya qilish tizimlari.
utt_11466 | Foydalanuvchilarni identifikatsiyalash tartibi. | foydalanuvchilarni identifikatsiyalash tartibi.
utt_11467 | Raqamli xizmatlardan foydalanish afzalliklari. | raqamli xizmatlardan foydalanish afzalliklari.
utt_11468 | Mobil ilovalar orqali davlat xizmatlari. | mobil ilovalar orqali davlat xizmatlari.
utt_11469 | SMS orqali xabarnomalar olish xizmati. | sms orqali xabarnomalar olish xizmati.
utt_1147 | Ko‘chalarda qolib, ochlikdan qor yeb, o‘rmon o‘rtasidagi vagonchalarda yotib qiynalganman. | ko‘chalarda qolib, ochlikdan qor yeb, o‘rmon o‘rtasidagi vagonchalarda yotib qiynalganman.
utt_11470 | Davlat organlarining rasmiy veb-saytlari. | davlat organlarining rasmiy veb-saytlari.
utt_11471 | Ijtimoiy tarmoqlardagi rasmiy sahifalar. | ijtimoiy tarmoqlardagi rasmiy sahifalar.
utt_11472 | Fuqarolar uchun virtual qabulxonalar. | fuqarolar uchun virtual qabulxonalar.
utt_11473 | Telefon orqali maslahat olish imkoniyati. | telefon orqali maslahat olish imkoniyati.
utt_11474 | Toshkent shahridagi davlat xizmatlari markazlari. | toshkent shahridagi davlat xizmatlari markazlari.
utt_11475 | Viloyatlardagi davlat xizmatlari markazlarining manzili. | viloyatlardagi davlat xizmatlari markazlarining manzili.
utt_11476 | Tuman va shaharlardagi filiallar ro'yxati. | tuman va shaharlardagi filiallar roʻyxati.
utt_11477 | Ish vaqti va dam olish kunlari haqida ma'lumot. | ish vaqti va dam olish kunlari haqida maʻlumot.
utt_11478 | Navbatga yozilish tartibi onlayn tarzda amalga oshiriladi. | navbatga yozilish tartibi onlayn tarzda amalga oshiriladi.
utt_11479 | Hujjatlarni qabul qilish va berish jarayoni. | hujjatlarni qabul qilish va berish jarayoni.
utt_1148 | Ammo qo‘ni-qo‘shni, xotin urug‘ oldida qanday quruq qo‘l bilan qaytaman deb, qolishga majbur bo‘lganman. | ammo qo‘ni-qo‘shni, xotin urug‘ oldida qanday quruq qo‘l bilan qaytaman deb, qolishga majbur bo‘lganman.
utt_11480 | Ariza ko'rib chiqish muddati standartlari. | ariza koʻrib chiqish muddati standartlari.
utt_11481 | Xizmat haqi va to'lov usullari. | xizmat haqi va toʻlov usullari.
utt_11482 | Imtiyozli toifadagi fuqarolar uchun qulayliklar. | imtiyozli toifadagi fuqarolar uchun qulayliklar.
utt_11483 | Nogironligi bo'lgan shaxslarga yordam. | nogironligi boʻlgan shaxslarga yordam.
utt_11484 | Ko'zi ojizlar uchun maxsus xizmatlar. | koʻzi ojizlar uchun maxsus xizmatlar.
utt_11485 | Karra va soqovlar uchun surdo-tarjimon xizmati. | karra va soqovlar uchun surdo-tarjimon xizmati.
utt_11486 | Vaqtinchalik ro'yxatdan o'tish tartibi. | vaqtinchalik roʻyxatdan oʻtish tartibi.
utt_11487 | Tashrif buyuruvchilar uchun qulay sharoitlar yaratish. | tashrif buyuruvchilar uchun qulay sharoitlar yaratish.
utt_11488 | Kutish zallarida qulayliklar mavjud. | kutish zallarida qulayliklar mavjud.
utt_11489 | Bolalar burchaklari tashkil etilgan. | bolalar burchaklari tashkil etilgan.
utt_1149 | Uydagilarga qo‘ng‘iroq qilganimda, xavotir olishmasin deb bu yerlarni doim maqtardim. | uydagilarga qo‘ng‘iroq qilganimda, xavotir olishmasin deb bu yerlarni doim maqtardim.
utt_11490 | Imkoniyati cheklangan shaxslar uchun panduslar. | imkoniyati cheklangan shaxslar uchun panduslar.
utt_11491 | Elektron navbat tizimi joriy etilgan. | elektron navbat tizimi joriy etilgan.
utt_11492 | Xodimlar malakasini oshirish kurslari. | xodimlar malakasini oshirish kurslari.
utt_11493 | Xizmat ko'rsatish madaniyatini oshirish. | xizmat koʻrsatish madaniyatini oshirish.
utt_11494 | Fuqarolar bilan muloqot qilish etikasi. | fuqarolar bilan muloqot qilish etikasi.
utt_11495 | Korruptsion holatlarning oldini olish. | korruptsion holatlarning oldini olish.
utt_11496 | Ishga qabul qilishda shaffoflik. | ishga qabul qilishda shaffoflik.
utt_11497 | Xizmat ko'rsatishda inson omilini kamaytirish. | xizmat koʻrsatishda inson omilini kamaytirish.
utt_11498 | Avtomatlashtirilgan tizimlar orqali xizmatlar. | avtomatlashtirilgan tizimlar orqali xizmatlar.
utt_11499 | QR kod orqali hujjatlarni tekshirish. | qr kod orqali hujjatlarni tekshirish.
utt_1150 | To‘qqiz yil mobaynida juda ko‘p shaharlarda, ishxonalarda ishladim. | to‘qqiz yil mobaynida juda ko‘p shaharlarda, ishxonalarda ishladim.
utt_11500 | Davlat reestrlariga onlayn kirish. | davlat reestrlariga onlayn kirish.
utt_11501 | Ochiq ma'lumotlar portalidan foydalanish. | ochiq maʻlumotlar portalidan foydalanish.
utt_11502 | Ma'lumotlarni almashish tizimlarining ishlashi. | maʻlumotlarni almashish tizimlarining ishlashi.
utt_11503 | Vazirliklar va idoralar o'rtasida hamkorlik. | vazirliklar va idoralar oʻrtasida hamkorlik.
utt_11504 | Davlat-xususiy sheriklik loyihalarini moliyalashtirish. | davlat-xususiy sheriklik loyihalarini moliyalashtirish.
utt_11505 | Davlat zaxirasini shakllantirish. | davlat zaxirasini shakllantirish.
utt_11506 | Favqulodda vaziyatlarning oldini olish. | favqulodda vaziyatlarning oldini olish.
utt_11507 | Tabiiy ofatlar oqibatlarini bartaraf etish. | tabiiy ofatlar oqibatlarini bartaraf etish.
utt_11508 | Qutqaruv xizmatlariga murojaat qilish. | qutqaruv xizmatlariga murojaat qilish.
utt_11509 | Yong'in xavfsizligi qoidalariga rioya qiling. | yongʻin xavfsizligi qoidalariga rioya qiling.
utt_1151 | Shunday kunlar bo‘ldi, ruslarning Pasxa bayramida qabristonlaridan shirinlik va qaynatilgan tuxumlar olib kelib yedik. | shunday kunlar bo‘ldi, ruslarning pasxa bayramida qabristonlaridan shirinlik va qaynatilgan tuxumlar olib kelib yedik.
utt_11510 | Tibbiy favqulodda yordam xizmatlari. | tibbiy favqulodda yordam xizmatlari.
utt_11511 | Politsiya yordami uchun 102 raqamiga qo'ng'iroq qiling. | politsiya yordami uchun bir yuz ikki raqamiga qoʻngʻiroq qiling.
utt_11512 | Gaz avariyasi holatida 104 raqamiga xabar bering. | gaz avariyasi holatida bir yuz toʻrt raqamiga xabar bering.
utt_11513 | Elektr tarmoqlaridagi nosozliklarni bartaraf etish. | elektr tarmoqlaridagi nosozliklarni bartaraf etish.
utt_11514 | Suv quvurlaridagi nosozliklarni tuzatish. | suv quvurlaridagi nosozliklarni tuzatish.
utt_11515 | Kanalizatsiya tizimini ta'mirlash. | kanalizatsiya tizimini taʻmirlash.
utt_11516 | Yo'l ta'miri ishlari olib borilmoqda. | yoʻl taʻmiri ishlari olib borilmoqda.
utt_11517 | Jamoat transporti qatnovini yaxshilash. | jamoat transporti qatnovini yaxshilash.
utt_11518 | Maktab avtobuslari xizmati joriy etilmoqda. | maktab avtobuslari xizmati joriy etilmoqda.
utt_11519 | Shaharlararo avtobus qatnovlari jadvallari. | shaharlararo avtobus qatnovlari jadvallari.
utt_1152 | Biroq Yaratganning bergan hech bir sinovidan nolimayman. | biroq yaratganning bergan hech bir sinovidan nolimayman.
utt_11520 | Temir yo'l transportida yo'lovchi tashish. | temir yoʻl transportida yoʻlovchi tashish.
utt_11521 | Aviakompaniyalarning reyslari haqida ma'lumot. | aviakompaniyalarning reyslari haqida maʻlumot.
utt_11522 | Aeroport xizmatlari va qoidalari. | aeroport xizmatlari va qoidalari.
utt_11523 | Vagonni bron qilish tartibi. | vagonni bron qilish tartibi.
utt_11524 | Poyezdga chiqish qoidalari. | poyezdga chiqish qoidalari.
utt_11525 | Yuklarni tashish uchun ruxsatnomalar. | yuklarni tashish uchun ruxsatnomalar.
utt_11526 | Pochta xizmatlaridan foydalanish. | pochta xizmatlaridan foydalanish.
utt_11527 | Kuryerlik xizmatlari narxlari. | kuryerlik xizmatlari narxlari.
utt_11528 | Telegraf orqali xabar yuborish. | telegraf orqali xabar yuborish.
utt_11529 | Uyali aloqa xizmatlari tariflari. | uyali aloqa xizmatlari tariflari.
utt_1153 | Aynan shu sinovlar meni kuchli, irodali qildi. | aynan shu sinovlar meni kuchli, irodali qildi.
utt_11530 | Internet xizmatlari provayderlari. | internet xizmatlari provayderlari.
utt_11531 | Raqamli televidenie xizmatlari. | raqamli televidenie xizmatlari.
utt_11532 | Radioeshittirishlar jadvali. | radioeshittirishlar jadvali.
utt_11533 | Gidroelektr stansiyalari qurilishi. | gidroelektr stansiyalari qurilishi.
utt_11534 | Issiqlik elektr stansiyalari modernizatsiyasi. | issiqlik elektr stansiyalari modernizatsiyasi.
utt_11535 | Atom energiyasidan tinch maqsadlarda foydalanish. | atom energiyasidan tinch maqsadlarda foydalanish.
utt_11536 | Energetika xavfsizligini ta'minlash. | energetika xavfsizligini taʻminlash.
utt_11537 | Qishloq joylarida elektr ta'minotini yaxshilash. | qishloq joylarida elektr taʻminotini yaxshilash.
utt_11538 | Ichimlik suvi ta'minotini yaxshilash dasturi. | ichimlik suvi taʻminotini yaxshilash dasturi.
utt_11539 | Aholini toza ichimlik suvi bilan ta'minlash. | aholini toza ichimlik suvi bilan taʻminlash.
utt_1154 | Boshida ishni sementni qayta ishlash sexidan boshladim, keyinchalik bir buxorolik tanishim orqali armanilarning kafesiga joylashdim. | boshida ishni sementni qayta ishlash sexidan boshladim, keyinchalik bir buxorolik tanishim orqali armanilarning kafesiga joylashdim.
utt_11540 | Qishloq xo'jaligida suvdan samarali foydalanish. | qishloq xoʻjaligida suvdan samarali foydalanish.
utt_11541 | Suv omborlarining holati monitoringi. | suv omborlarining holati monitoringi.
utt_11542 | Cho'llashishga qarshi kurash choralari. | choʻllashishga qarshi kurash choralari.
utt_11543 | O'rmon maydonlarini kengaytirish. | oʻrmon maydonlarini kengaytirish.
utt_11544 | Noqonuniy daraxt kesishlarning oldini olish. | noqonuniy daraxt kesishlarning oldini olish.
utt_11545 | Hayvonot dunyosini muhofaza qilish. | hayvonot dunyosini muhofaza qilish.
utt_11546 | Qizil kitobga kiritilgan turlar himoyasi. | qizil kitobga kiritilgan turlar himoyasi.
utt_11547 | Ov qilish qoidalari va ruxsatnomalari. | ov qilish qoidalari va ruxsatnomalari.
utt_11548 | Baliq ovlash uchun ruxsatnoma olish. | baliq ovlash uchun ruxsatnoma olish.
utt_11549 | Dorivor o'simliklarni yig'ish qoidalari. | dorivor oʻsimliklarni yigʻish qoidalari.
utt_1155 | Kichkina do‘konda sheriklarim bilan shaurma va boshqa pishiriqlarni tayyorlab sotardik. | kichkina do‘konda sheriklarim bilan shaurma va boshqa pishiriqlarni tayyorlab sotardik.
utt_11550 | Daraxt ekish tashabbusida ishtirok eting. | daraxt ekish tashabbusida ishtirok eting.
utt_11551 | Shahar ko'kalamzorlashtirish dasturlari. | shahar koʻkalamzorlashtirish dasturlari.
utt_11552 | Park va xiyobonlarga g'amxo'rlik qilish. | park va xiyobonlarga gʻamxoʻrlik qilish.
utt_11553 | Tog'li hududlarda sayyohlikni rivojlantirish. | togʻli hududlarda sayyohlikni rivojlantirish.
utt_11554 | Cho'l hududlarida infratuzilmani rivojlantirish. | choʻl hududlarida infratuzilmani rivojlantirish.
utt_11555 | Chegaraoldi hududlarida xavfsizlik choralarini kuchaytirish. | chegaraoldi hududlarida xavfsizlik choralarini kuchaytirish.
utt_11556 | Davlat chegara xizmati faoliyati. | davlat chegara xizmati faoliyati.
utt_11557 | Xorijga chiqish uchun ruxsatnomalar. | xorijga chiqish uchun ruxsatnomalar.
utt_11558 | Doimiy yashash uchun ketish tartibi. | doimiy yashash uchun ketish tartibi.
utt_11559 | Xorijda ishlash uchun ruxsatnomalar. | xorijda ishlash uchun ruxsatnomalar.
utt_1156 | Biroq yurtdoshlarimizni himoya qilib, bizni qulday xohlagan ko‘yga solishlariga qarshi bo‘lganim uchun u yerdan ishdan ketdim. | biroq yurtdoshlarimizni himoya qilib, bizni qulday xohlagan ko‘yga solishlariga qarshi bo‘lganim uchun u yerdan ishdan ketdim.
utt_11560 | Vatandoshlarni qo'llab-quvvatlash jamg'armasi. | vatandoshlarni qoʻllab-quvvatlash jamgʻarmasi.
utt_11561 | Xorijdan qaytgan fuqarolarga yordam. | xorijdan qaytgan fuqarolarga yordam.
utt_11562 | Talabalarga xorijda o'qish uchun grantlar. | talabalarga xorijda oʻqish uchun grantlar.
utt_11563 | O'qish uchun viza olish tartibi. | oʻqish uchun viza olish tartibi.
utt_11564 | Xorijiy fuqarolarni ro'yxatga olish. | xorijiy fuqarolarni roʻyxatga olish.
utt_11565 | Vaqtinchalik ro'yxatdan o'tish qoidalari. | vaqtinchalik roʻyxatdan oʻtish qoidalari.
utt_11566 | Mehnat migratsiyasi masalalari bo'yicha maslahatlar. | mehnat migratsiyasi masalalari boʻyicha maslahatlar.
utt_11567 | Mehnat shartnomasini ro'yxatdan o'tkazish. | mehnat shartnomasini roʻyxatdan oʻtkazish.
utt_11568 | Ishchilarni himoya qilish qonunchiligi. | ishchilarni himoya qilish qonunchiligi.
utt_11569 | Ish haqi to'lash muddatlariga rioya qilish. | ish haqi toʻlash muddatlariga rioya qilish.
utt_1157 | Keyinchalik shirinlik sexida, Sharq oshxonasida oshpaz bo‘lib ishladim. | keyinchalik shirinlik sexida, sharq oshxonasida oshpaz bo‘lib ishladim.
utt_11570 | Mehnat kodeksiga kiritilgan o'zgarishlar. | mehnat kodeksiga kiritilgan oʻzgarishlar.
utt_11571 | Kollektiv shartnomalar tuzish tartibi. | kollektiv shartnomalar tuzish tartibi.
utt_11572 | Kasaba uyushmalari faoliyati. | kasaba uyushmalari faoliyati.
utt_11573 | Ish joyida xavfsizlik qoidalariga rioya qilish. | ish joyida xavfsizlik qoidalariga rioya qilish.
utt_11574 | Baxtsiz hodisalarning oldini olish. | baxtsiz hodisalarning oldini olish.
utt_11575 | Ishlab chiqarish sanitariyasi normalari. | ishlab chiqarish sanitariyasi normalari.
utt_11576 | Maxsus kiyimlar va himoya vositalari bilan ta'minlash. | maxsus kiyimlar va himoya vositalari bilan taʻminlash.
utt_11577 | Mehnat sharoitlarini yaxshilash dasturlari. | mehnat sharoitlarini yaxshilash dasturlari.
utt_11578 | Ishsizlik darajasini kamaytirish choralari. | ishsizlik darajasini kamaytirish choralari.
utt_11579 | Davlat korxonalari faoliyatini tahlil qilish. | davlat korxonalari faoliyatini tahlil qilish.
utt_1158 | 20 ga yaqin o‘zimizning yigitlar bilan ishlardik. | yigirma ga yaqin o‘zimizning yigitlar bilan ishlardik.
utt_11580 | Davlat ulushi bo'lgan korxonalarni boshqarish. | davlat ulushi boʻlgan korxonalarni boshqarish.
utt_11581 | Davlat mulkini samarali boshqarish. | davlat mulkini samarali boshqarish.
utt_11582 | Xususiylashtirish natijalarini monitoring qilish. | xususiylashtirish natijalarini monitoring qilish.
utt_11583 | Sanoat ishlab chiqarishini rivojlantirish. | sanoat ishlab chiqarishini rivojlantirish.
utt_11584 | Qishloq xo'jaligi mahsulotlarini qayta ishlash. | qishloq xoʻjaligi mahsulotlarini qayta ishlash.
utt_11585 | Qurilish sanoatini rivojlantirish. | qurilish sanoatini rivojlantirish.
utt_11586 | Energetika resurslaridan tejamkor foydalanish. | energetika resurslaridan tejamkor foydalanish.
utt_11587 | Iqtisodiy islohotlarning natijalari. | iqtisodiy islohotlarning natijalari.
utt_11588 | Makroiqtisodiy barqarorlikni ta'minlash. | makroiqtisodiy barqarorlikni taʻminlash.
utt_11589 | Valyuta siyosatini tartibga solish. | valyuta siyosatini tartibga solish.
utt_1159 | Hozir sakkiz kishi qoldik. | hozir sakkiz kishi qoldik.
utt_11590 | Pul-kredit siyosati choralari. | pul-kredit siyosati choralari.
utt_11591 | Bank tizimini mustahkamlash. | bank tizimini mustahkamlash.
utt_11592 | Sug'urta bozorini rivojlantirish. | sugʻurta bozorini rivojlantirish.
utt_11593 | Kapital bozorini shakllantirish. | kapital bozorini shakllantirish.
utt_11594 | Qimmatli qog'ozlar bozorini tartibga solish. | qimmatli qogʻozlar bozorini tartibga solish.
utt_11595 | Oltin-valyuta zaxiralarini boshqarish. | oltin-valyuta zaxiralarini boshqarish.
utt_11596 | Davlat qarzi siyosati. | davlat qarzi siyosati.
utt_11597 | Byudjet intizomiga rioya qilish. | byudjet intizomiga rioya qilish.
utt_11598 | Davlat xaridlarida shaffoflikni ta'minlash. | davlat xaridlarida shaffoflikni taʻminlash.
utt_11599 | Byudjet mablag'laridan samarali foydalanish. | byudjet mablagʻlaridan samarali foydalanish.
utt_1160 | Chunki Novosibirskdagi ishxonamiz yopilib, o‘tgan Yangi yil oldi uch oylik maoshimizni ololmay, ishsiz va pulsiz qoldik. | chunki novosibirskdagi ishxonamiz yopilib, o‘tgan yangi yil oldi uch oylik maoshimizni ololmay, ishsiz va pulsiz qoldik.
utt_11600 | Ichki audit tizimini joriy etish. | ichki audit tizimini joriy etish.
utt_11601 | Tashqi audit o'tkazish tartibi. | tashqi audit oʻtkazish tartibi.
utt_11602 | Davlat nazorati organlarining faoliyati. | davlat nazorati organlarining faoliyati.
utt_11603 | Parlament nazorati mexanizmlari. | parlament nazorati mexanizmlari.
utt_11604 | Qonunchilik tashabbusi huquqi. | qonunchilik tashabbusi huquqi.
utt_11605 | Qonunlarni qabul qilish jarayoni. | qonunlarni qabul qilish jarayoni.
utt_11606 | Hukumat qarorlari va farmoyishlari. | hukumat qarorlari va farmoyishlari.
utt_11607 | Prezident farmonlari va qarorlari. | prezident farmonlari va qarorlari.
utt_11608 | Vazirlar Mahkamasi qarorlarining ijrosi. | vazirlar mahkamasi qarorlarining ijrosi.
utt_11609 | Adliya tizimini isloh qilish. | adliya tizimini isloh qilish.
utt_1161 | Ishxonamiz va ish yurituvchilardan nolimayman. | ishxonamiz va ish yurituvchilardan nolimayman.
utt_11610 | Sud-huquq tizimini mustahkamlash. | sud-huquq tizimini mustahkamlash.
utt_11611 | Sudlar mustaqilligini ta'minlash. | sudlar mustaqilligini taʻminlash.
utt_11612 | Advokatlik faoliyatini tartibga solish. | advokatlik faoliyatini tartibga solish.
utt_11613 | Yuridik yordam ko'rsatish tizimi. | yuridik yordam koʻrsatish tizimi.
utt_11614 | Mediatsiya usuli orqali nizolarni hal qilish. | mediatsiya usuli orqali nizolarni hal qilish.
utt_11615 | Arbitraj sudlari faoliyati. | arbitraj sudlari faoliyati.
utt_11616 | Konstitutsiyaviy sudning vakolatlari. | konstitutsiyaviy sudning vakolatlari.
utt_11617 | Oliy sudning hal qiluvchi ahamiyati. | oliy sudning hal qiluvchi ahamiyati.
utt_11618 | Jinoyat protsessual kodeksiga o'zgartirishlar. | jinoyat protsessual kodeksiga oʻzgartirishlar.
utt_11619 | Ma'muriy javobgarlik to'g'risidagi kodeks. | maʻmuriy javobgarlik toʻgʻrisidagi kodeks.
